NUTS,Air_passengers,Hospital_beds,Death_rate,Compensation_of_employees,Deaths,Early_leavers_from_ed.,Employment_worked_hrs.,Farm_labour_force,Health_personnel,Respiratory_discharges,Life_expectancy,Longterm_care_beds,Gross_domestic_product,Ed._participation,Population_density,Population,Pupils_enrolled,GVA_growth,Vehicles,Tertiary_ed._students,Unemployment_rate,Utilised_agricultural_area,NEET_rate,Cases_density_1,Cases_density_2,Country,Latitude,Longitude
NL42,440,1869.8213610263906,1053.85,21263,12007,7.5,838211,12840,3916,9953,81.8,104.94454841194133,45847.99,15.3,517.7,1117201,61681,107.9,661564,49740,3.5,97940,4.6,0.0046518039278518365,0.057471305521566846,NL,5.9292,51.1854
PT11,13203,334.11,985.99,27842.78,34947,10.5,3148273.06,135750,19005,333.71505303708494,82.4,249.23806223604876,63279.17,8.4,169.3,3575338,200579,111.7,1675894.7718325793,120925,6.8,646610,8.5,0.00551807968924896,0.08517348569561815,PT,-7.6933,41.4531
PT15,9061,277.45,1208.45,3665.36,5117,19.9,445006.4,11520,1838,40.91995820864384,80.7,96.39687465108766,10157.64,9.4,88.9,438406,29808,115.3,205497.30496530223,8344,8.3,92230,12.8,0.0022695857264727216,0.04286437685615616,PT,-8.1299,37.2026
PT16,14,317.51,1280.33,16494.23,28066,6,1869250.86,96520,11093,206.95704332662615,82,187.3642822453497,39999.2,10.4,79.2,2217285,118130,109.8,1039324.4888071563,78685,5.6,558020,8.8,0.0020858843134734595,0.0500192803360867,PT,-7.9946,40.1425
PT17,31204,385.42,1004.82,34367.11,28271,7,2766459.02,11000,18637,267.25220590042125,82.2,178.20627288208297,76767.6,12.5,1015.9,2863272,190780,109.7,1342122.7797580573,138832,7.7,74370,8.5,0.009936883397735179,0.09510238636077886,PT,-8.8878,38.6221
PT18,3,214.46,1476.48,5221.42,10442,12.7,594899.4,45030,2186,65.7620651076073,80.7,214.4332614529403,13408.43,10.3,22.7,704558,40604,102.9,330252.71139478794,15566,5.9,2146510,7.6,0.0012220427558838308,0.03865686004558887,PT,-8.0017,38.4793
PT20,2836,611.15,943.07,1885.62,2271,27,207382.93,10950,861,22.66210355977311,78.8,234.47835375132092,4469.05,5.8,105.3,242796,16669,108.5,0,2673,6.1,118590,17.2,7.701939076426301e-4,0.014506005041269214,PT,-25.3659,37.7846
PT30,3344,735.15,1074.14,2067.29,2679,23.2,228017.77,12700,1124,23.73157085984346,78.8,182.57510214076513,5069.44,7.9,318,254254,16130,108.8,0,3156,7.9,5260,16.1,5.270320230950152e-4,0.02259944779629819,PT,-16.9503,32.7326
RO11,2994,732.38,1250.91,9706.98,31541,14.9,2133723.4,216420,8542,62028,75.7,558.57,26835.53,0.7,75,2547429,122790,129.2,1072065,93552,3.8,1783180,12.1,0.0023097797818898975,0.03729681965621024,RO,23.3458,47.225
RO12,853,728.07,1242.54,9125.05,29012,21.7,1646124.5,156160,7438,62028,75.7,558.57,26835.53,0.7,68.2,2314826,119274,120.5,951080,56284,7.1,1693990,24.3,0.003720798021103962,0.037304747743458905,RO,24.8114,46.186
RO21,853,664.57,1242.54,9125.05,29012,21.7,1646124.5,156160,7438,77260,74.6,463.16,23123.11,0.6,87.5,2314826,119274,120.5,951080,56284,7.1,1693990,24.3,0.0050677675125473795,0.031396312293019,RO,26.6947,47.0893
RO22,23,622.8,1461.73,7446.18,35414,20.6,1729159.5,194360,5247,49132,74.4,419.67,22802.19,0.6,70.9,2377101,117487,113.6,920227,38722,7.4,2092500,19.9,0.004215218453065309,0.03127885605197255,RO,26.9744,45.4531
RO31,NA,516.39,1471.51,8257.41,43444,17,2084686.8,279380,4658,64497,75.5,558.65,26067.46,2.2,86.1,2901376,134473,103.2,1046415,20650,5.9,2250950,17.7,0.0049914247584594345,0.03726300899986765,RO,25.3492,44.5192
RO32,14694,1025.84,1136.42,22693.1,25935,6.7,2300541.6,12150,14327,52026,77.2,708.51,61169.4,0.8,1321.9,2322002,109461,137.6,1580521,172709,4.7,75570,11.3,0.0044741563530091705,0.06248358097882775,RO,26.144,44.5139
RO41,514,674.44,1392.85,5596.05,27196,11.4,1536493.8,251630,5977,57253,76.2,585.5,17099.28,0.8,66.9,1910409,83148,111.6,738024,28627,5,1574200,13.5,0.003022389446448378,0.0260263639880256,RO,23.6859,44.5996
RO42,1595,750.7,1297.81,7651.16,23433,6.6,1338723,116840,7388,43003,75.6,657.77,20803.2,1.5,55.7,1771480,76128,127.7,769544,55778,4.6,1648380,13.3,0.0029732201323187392,0.04011391604759861,RO,21.9876,45.7133
SK01,2285,715.17,950.52,10778.73,6062,7.833333333333333,812644,2580,4310,168.24841266918452,79.3,192.5965710873809,26379.56,4.7,328.8,669592,30804,108.9,508871,53661,3.4,78640,7.9,0.0011409933213061088,0.05155676889807525,SK,17.1607,48.2998
SK02,NA,471.62,1072.85,11312.31,18992,4.1,1396909,22040,5063,458.26429981056725,78,290.99800883552246,28890.8,2,123,1823792,68962,110.9,977096,33708,4.7,817390,7.7,5.318588961899164e-4,0.057994552010316974,SK,18.0701,48.4057
SK03,NA,583.78,1015.35,7776.08,13759,7.4,959293,14070,4427,335.8940284979149,77.2,544.4642759578667,18834.04,3.2,82.7,1336785,54700,112.2,620756,23727,6.7,465740,10.2,4.376171186840068e-4,0.05139719551012316,SK,19.3647,48.796
SK04,556,630.22,874.13,7510.14,14421,12,954483,11910,5654,408.9932590223335,77.6,150.53993555910063,19760.78,2.7,103.9,1627704,77254,111.8,657730,29713,10.5,539840,15.4,4.779738822292014e-4,0.04900399581250645,SK,21.2527,48.9446
FR23,415,1167.79,NA,NA,34533,9.61304347826087,2058312.9236755946,42650,9536,42270,82.41538461538461,112.17,113344.40780047409,11.811538461538461,5.222133202900002,3313432,209502,105.41071428571428,2005987.6741489957,131880,9.7,1994140,13.696153846153846,5.667839267563059e-4,0.0019318338206427655,FR,0.9341,49.3107
FR24,195,597.56,1017.94,38148.25,27100,9,1512597.08,34330,6680,27993,82.7,84.19,76329.73,12.3,65.4,2565726,161345,104.3,1595131,66401,8.9,2302910,11.6,9.209868863627682e-4,0.0019686435730081856,FR,1.5908,47.55
FR26,NA,1256.2,NA,NA,30190,9.61304347826087,1735961.5216280739,45540,8410,33047,82.41538461538461,67.02,95593.59433160465,11.811538461538461,4.404297420852006,2794517,165883,105.41071428571428,1691830.9043915279,111227,9.7,2415360,13.696153846153846,0.0014657273510950194,0.0034302886688468886,FR,4.1819,47.0656
FR30,6164,1164.71,NA,NA,55644,9.61304347826087,3719634.4553985437,41070,17969,81308,82.41538461538461,130.09,204827.82755331622,11.811538461538461,9.437061959218907,5987795,406551,105.41071428571428,3625076.0436100652,238325,9.7,2130000,13.696153846153846,0.0011982708158846454,0.0026483872610869276,FR,2.8932,50.3672
FR41,10674,1763.8,NA,NA,53323,9.61304347826087,3438979.4213655028,71010,17734,88.81258135000637,82.41538461538461,113.43069165655871,189373.09359969967,11.811538461538461,8.72501377892192,5536002,333762,105.41071428571428,3351555.660736115,220343,9.7,3004300,13.696153846153846,0.002344471696361381,0.0026004325865489216,FR,6.2643,48.7255
FR51,7204,500.32,898.22,62000.71,35374,8.2,2451013.79,59700,11161,35057,83.4,73.59,121220.27,14.4,118.3,3818421,248824,107.5,2383299,132945,6.9,2092730,10.5,6.175327445559303e-4,0.0015653067066203543,FR,-0.8859,47.4727
FR52,2054,590.26,1041.05,50594.47,35286,4.5,2081611.66,54190,10919,35921,82.5,77.42,101355.39,13.7,122.4,3358524,205431,106.7,2179344,126447,6.7,1643670,8.3,4.0851278716483796e-4,9.542882528158203e-4,FR,-2.6897,48.0984
FR61,10146,1936.6399999999999,NA,NA,65526,9.61304347826087,3738661.2730725626,116560,20468,65340,82.41538461538461,89.76,205875.5707593095,11.811538461538461,9.48533478264538,6018424,341557,105.41071428571428,3643619.1724479315,239544,9.7,4025650,13.696153846153846,3.8232600428284876e-4,0.0014307732389741898,FR,-0.4929,44.2823
FR62,13309,1266.14,NA,NA,59706,9.61304347826087,3697305.324140827,98440,20995,63231,82.41538461538461,80.84,203598.23698426635,11.811538461538461,9.38041085607925,5951850,351771,105.41071428571428,3603314.550708661,236894,9.7,3546580,13.696153846153846,5.090854104186093e-4,0.0017834790863345009,FR,1.5622,43.8436
FR71,12628,1286.5900000000001,NA,NA,69970,9.61304347826087,5009469.314658292,82670,27342,83536,82.41538461538461,105.21,275854.71884938696,11.811538461538461,12.709494137689633,8064146,517394,105.41071428571428,4882121.461535328,320968,9.7,2934530,13.696153846153846,0.0010237909879111811,0.003459138760632558,FR,5.2857,45.2864
FR82,25090,688.32,989.25,85356.59,51482,8.2,3181779.79,37580,20491,60815,82.41538461538461,103.16,170603.5,11.1,162.4,5077582,315357,106.9,3266173,158427,8,802030,13.2,0.0011938753524807675,0.0038851169710306995,FR,5.9746,43.9434
HR04,3410,579.08,1320.16,16483.53,35136,2.6,1962213.7,138360,9642,27981,77.9,435.82,36691.62,3.0999999999999996,85.8,2684363,106492,109.6,1225400,114300,7.5,1103790,13.6,0.0016473181905725864,0.05960073209174765,HR,17.2044,45.6127
FI13,3018,388.16,1113.12,20896.46,14025,8.6,902480.87,46140,NA,NA,82.4,75.49,46441.87,26.1,6.3,1278237,88922,109.8,1091286,68190,8.8,1336730,10.5,2.198340370369501e-4,0.001536491276656833,FI,28.8132,63.336
FI18,455,342.38,1136.41,19558.22,13016,8.2,814235.74,35060,NA,NA,82.4,77.98,44755.99,24.8,36.6,1148794,72389,109.7,951005,55971,7.7,1432590,8.8,6.554699972318796e-4,0.006701810768510281,FI,25.6751,60.8362
FI1A,3018,388.16,1113.12,20896.46,14025,8.6,902480.87,46140,NA,NA,82.4,75.49,46441.87,26.1,6.3,1278237,88922,109.8,1091286,68190,8.8,1336730,10.5,2.0105817622240632e-4,0.002116978306839811,FI,25.3437,66.6044
